id,category,text
1329509082626220033,1,“The standard coronavirus tests are throwing up a huge number of positive cases daily. These tests are done based on faulty WHO protocols which are designed to include false positives cases as well.”  #COVID19 @SadetKarabulut #ikvaccineerniet    https://t.co/OloHKfC4St
1340933883584344064,0,"I wouldn’t worry much if it were to be only wasting a lot of vaccine in using it in young persons who have recovered from Covid19. Do we know enough that it will be truly beneficial? Are we absolutely certain that it won’t cause harm? Answer is NO, we don’t know for sure https://t.co/QDEmMAXbac"
1346358144176435201,2,Great first week vaccine performance by team @ndht Over 950 people protected and going strong.  A-Ma-Zing team behind the team fighting #COVID19
1344375534139142145,2,"if you work with the disabled, the incarcerated, or the elderly, state and federal governments should force you to choose between getting vaccinated and quitting. https://t.co/wFTDVoFx48"
1325992175218417665,0,"LOL, not a chance I would get any vaccine let alone the biggest fraud vaccine in the world. https://t.co/hPIBtcyWTM"
1326170149137813504,0,Don’t worry. You can have mine Kenny.  Despite being in the riskier category I will not be taking any hastily-developed vaccine rushed in without any longitudinal testing. https://t.co/qXDJLZsRkw
1325922127237746688,1,The vaccine is the first to be tested in the United States to generate late-stage data.  https://t.co/enYdjBtHZ5  #DrugDiscovery #coronavirus #COVID19
1338493386949615616,0,If Donald and staff not taking covid-19 vaccine why would Anyone take it🤔🤔🤔
1329054437592231939,0,"https://t.co/3FRZ5Mx31n  Vaccines are almost ready, and when you hear the names of the companies, everything will be clear to you. No thanks, I will never allow any vaccine into my body.🤬🤬"
1342089567508131840,1,French medical regulator approves COVID-19 vaccine - The Hindu https://t.co/kcchSTZA2M
1344819299802746880,0,"@TheBatman1961 it's not a normal flu vaccine at all, it's a gene modifying one, never before triedhttps://t.co/Lz5N1nGJge"
1334506938055467009,0,"Want us to trust you and the vaccine? Have cameras follow u every day up until after you get the second dose we can make sure it actually safe.  ""Obama, Bush and Clinton say they will take the COVID-19 vaccine publicly to gain public trust""  https://t.co/29RkRRq5YR"
1325906450879811585,0,"@SkyNews Stop pushing this #covid19 vaccines shite, to try and convince people that, vaccines are the only way out! They are not and Pfizer are Bio #Terrorists, that will be destroyed along with their poison covid19 #vaccines! #StopPoisonVaccines #PfizerVaccineTerrorism #Billgates #Pfizer https://t.co/NfjSaAvRk6"
1338524844913283074,0,#COVID19 y’all can shove the vaccine up your asses this ain’t gonna fix shit. it’s over. we’re all over. evERYTHING IS GOING TO SHIT. ITS O VE. R. MR STARK PLS
1334293765763325954,0,Why does Pfizer need legal protection if the vaccine is safe?! #vaccineuk https://t.co/FfYnloEPJE
1325801043838586882,2,"@expressionessd1 Yes, if I am offered it.  I'd rather take my chances with a tested vaccine than with Covid19."
1325778348841312262,2,Fingers crossed🤞🏻🙏🏻#COVID19 #vaccine https://t.co/mmXfnzfDbc
1329055323286626304,2,It's amazing! One year from disease emergence to many vaccines. Two at 95%  There is light at the end of the tunnel https://t.co/DW0wcGnNch
1336193532973862921,1,Covid-19 vaccination: Former US Presidents step in to allay fears of Corona vaccine https://t.co/41wnQeNWuk
1325770194740891649,1,"BioNTech, Pfizer COVID-19 vaccine candidate was more than 90% effective in prevention - https://t.co/uH7ZvBxrja https://t.co/BxNGX7gJ0B"
1326156962179010560,0,Don't trust it!! 😩  Why the COVID-19 vaccine may not mean the end of the pandemic https://t.co/DBviA0H7tI via @MetroUK
1329373957129170944,2,@Radio_Monica @PaulrussellDJ @realDonaldTrump @justin_hart Watch no vaccine for a couple months in.. (of biden term) and coronavirus still kicks our asz... just like every other country on earth 🤣🤣
1328875897756200962,1,Coronavirus: China takes risk in rushing to use unproven vaccines https://t.co/2h9LGUOjxy
1325855541369991170,0,"Be ready either way, this ""health passport"" is coming  and so are the vaccines that are ""activated with a device that resembles a toothbrush, which delivers an electrical impulse for a fraction of a second, allowing the DNA to penetrate the body's cells and carry out its mission"" https://t.co/t6r7rdvpE4"
1325690252745388034,0,This vaccine is more like a flu shot than a true vaccine. It will make it less likely to get sick but is not full immunity. https://t.co/82QoUo42O8
1339932858673221639,2,"I have been vaccinated against COVID-19 to protect myself, my family, and my community! If we are hoping to get back to normal and for the economy to revive, this is the simplest thing that we can do! God Willing, I will be getting the second dose in three weeks. https://t.co/1dsxYXyOb4"
1343018763721928704,2,"@apbohn Nice! But my father he was the travel writer about USA,Europe and west Asia died by COVID-19 in May.I wanted vaccine earlier..."
