gram,counts
vaccine,75182
covid,31557
19,25055
covid19,21114
vaccines,18553
coronavirus,12672
people,11205
take,10494
get,10212
amp,9706
virus,8131
one,5716
would,5510
like,5452
vaccination,5213
us,5118
need,4965
pfizer,4914
new,4809
know,4669
even,4125
getting,4067
first,3983
effects,3969
want,3960
flu,3742
side,3518
make,3326
still,3307
going,3278
think,3226
never,3179
effective,3177
stop,3172
vaccinated,3162
taking,3117
risk,3071
safe,3051
years,2996
world,2963
99,2747
covidvaccine,2740
health,2602
work,2590
trust,2560
immunity,2548
say,2530
long,2480
see,2452
time,2450
anyone,2424
government,2418
mrna,2370
go,2352
many,2323
way,2319
also,2247
rate,2223
could,2221
safety,2218
efficacy,2200
may,2198
year,2191
good,2183
use,2178
yet,2178
already,2141
right,2088
re,2057
every,2016
trump,2016
give,2013
well,2010
said,1977
uk,1964
let,1931
pandemic,1922
immune,1913
got,1883
made,1869
months,1868
dangerous,1858
strain,1852
really,1832
test,1791
death,1782
realdonaldtrump,1773
dose,1764
human,1754
science,1751
without,1751
via,1727
cure,1726
anti,1724
trials,1713
much,1710
000,1708
tested,1699
shot,1696
vaccinations,1685
prevent,1638
research,1630
believe,1626
hoax,1625
medical,1624
less,1597
everyone,1576
masks,1563
public,1554
covid19vaccine,1551
another,1544
data,1541
please,1540
body,1534
mask,1524
fda,1513
wo,1502
proven,1496
sure,1484
spread,1471
must,1461
says,1456
ever,1455
used,1453
term,1449
population,1443
wait,1442
nothing,1439
system,1425
testing,1416
experimental,1401
moderna,1400
kill,1388
doses,1386
rushed,1380
ca,1366
big,1365
disease,1362
ll,1360
given,1344
protection,1343
fake,1337
real,1336
enough,1308
line,1303
better,1291
die,1289
life,1281
ve,1278
americans,1271
money,1267
hiv,1259
china,1256
cause,1253
lives,1246
around,1240
vaccinate,1239
deaths,1237
dna,1234
fuck,1211
something,1207
na,1205
news,1198
care,1181
control,1177
approved,1175
god,1168
person,1158
free,1151
doctors,1147
keep,1145
lockdown,1141
pharma,1141
100,1139
back,1126
dr,1115
point,1111
two,1110
cdc,1110
since,1109
bad,1102
gates,1099
anything,1089
last,1082
shit,1078
guinea,1076
workers,1067
treatment,1066
day,1057
days,1043
killed,1033
refuse,1027
developed,1027
allergic,1025
coronavirusvaccine,1018
reactions,1017
actually,1016
herd,1016
works,1016
thing,1009
tell,1004
based,1004
95,994
old,992
reason,990
come,989
bill,986
survival,981
might,981
infection,970
sars,958
evidence,957
protect,944
put,943
saying,937
sick,935
plan,930
mandatory,929
yes,928
read,928
common,922
effect,920
trying,915
case,910
understand,907
country,901
hell,901
2021,899
done,897
cold,896
end,894
wrong,894
using,893
symptoms,893
called,890
someone,889
millions,884
look,882
deadly,881
trial,876
the,874
infected,873
different,871
adverse,871
making,870
far,869
10,868
million,868
gon,867
oh,866
it,865
makes,859
wear,858
serious,856
warning,854
etc,843
live,843
reaction,841
drug,839
positive,839
severe,832
false,831
dont,831
second,831
high,830
fact,829
pamphlet,824
instead,824
available,824
takes,822
help,821
fauci,817
part,814
healthcare,811
save,810
seems,805
mean,801
fear,800
humans,797
pigs,787
cases,786
hope,783
history,779
biontech,777
next,773
others,773
man,773
medicine,767
watch,764
away,760
doctor,760
receive,759
chance,755
either,754
created,752
media,751
corona,750
question,750
scientists,749
giving,748
cancer,748
stupid,747
ivermectin,747
70,747
90,744
tests,740
vax,736
worse,735
untested,731
variant,731
fucking,727
needs,725
black,724
experts,723
great,718
weeks,717
nurse,715
idea,714
best,711
companies,706
means,705
probably,700
american,699
america,699
died,695
wants,694
countries,691
patients,690
children,689
dead,687
healthy,686
mass,683
gt,682
force,678
guess,676
viruses,670
likely,668
50,666
usa,664
rna,663
rush,662
coming,662
else,660
told,659
full,659
absolutely,656
possible,655
state,654
ppl,652
maybe,651
jab,650
early,649
global,649
due,649
studies,648
pay,646
useless,645
sense,641
gets,641
injected,640
response,640
start,639
rather,638
show,638
pass,635
least,634
ask,633
forced,629
took,625
politicians,623
always,620
lol,619
clinical,612
find,609
choice,609
thought,609
cells,608
needed,607
no,606
thanks,605
fast,604
true,604
govt,602
ok,602
call,601
matthancock,600
study,600
social,599
little,597
everything,596
develop,594
20,593
shots,593
unknown,593
known,589
try,587
antibodies,585
2020,583
scam,582
1st,579
supports,577
feel,573
whole,572
times,572
become,572
emergency,571
hydroxychloroquine,569
animal,566
stay,564
change,564
create,558
knows,558
transmission,557
things,555
evil,552
yeah,549
chinese,548
course,548
truth,544
waste,542
this,540
though,539
lot,539
order,537
non,536
astrazeneca,534
normal,529
roll,527
whether,527
working,523
expect,521
lockdowns,521
family,518
borisjohnson,518
issue,517
soon,516
humanity,513
protein,510
risks,509
worst,508
wonder,505
scientific,504
canada,504
lies,503
covid_19,503
video,500
liability,500
spreading,499
problem,498
approval,498
rich,497
found,494
dying,493
especially,491
able,489
political,488
company,486
nobody,486
remember,486
unless,486
elderly,483
current,480
seen,478
lie,476
poison,475
taken,473
process,472
face,472
gop,472
happen,471
conspiracy,470
natural,469
agenda,468
president,467
follow,462
turn,462
mutation,461
comes,461
within,461
age,459
why,458
fraud,458
lab,457
mind,457
technology,454
kills,451
recovery,450
today,450
and,450
sorry,446
joebiden,446
results,446
potential,445
none,444
market,444
accept,444
cnn,442
hospital,442
article,442
biden,441
zero,441
damn,439
almost,438
hard,437
buy,436
pcr,435
ones,434
pushing,434
women,434
drugs,433
harm,431
ass,430
exactly,427
strains,427
kind,426
type,424
proof,421
future,421
per,420
folks,420
telling,420
fight,420
