gram,counts
covid 19 vaccine,10022
covid 19 vaccines,2502
take covid 19,921
covid 19 protection,824
99 efficacy pamphlet,823
protection 99 efficacy,823
risk proven covid,823
19 protection 99,823
stop risk proven,823
proven covid 19,823
covid 19 vaccination,658
vaccine covid 19,620
get covid 19,580
supports vaccine anti,571
vaccine anti safety,571
anyone supports vaccine,571
pfizer covid 19,444
efficacy pamphlet covid19vaccine,389
long term effects,389
2021 stop risk,382
99 survival rate,372
effects covid 19,366
get covid vaccine,362
getting covid 19,356
refuse covid 19,331
doctors around world,321
covid 19 mrna,308
covid19vaccine coronavirus coronavirusvaccine,303
warning get covid,302
taking covid 19,298
covid 19 virus,293
pamphlet covid19vaccine coronavirus,292
pfizer biontech covid,290
side effects covid,281
19 vaccine shortages,281
biontech covid 19,281
world issue dire,269
around world issue,268
issue dire warning,267
dire warning get,266
take covid19 vaccine,265
covid 19 stop,247
day covid 19,247
americans killed every,246
summer 2021 stop,246
americans killed summer,246
killed every day,246
every day covid,246
000 000 americans,246
1000 americans killed,246
19 stop risk,246
000 americans killed,246
killed summer 2021,246
19 mrna vaccine,242
mrna vaccine bnt162b2,229
vaccine based greed,228
based greed instead,227
rush vaccine based,227
expect rush vaccine,227
instead research original,227
strain ccpvirus covid19,227
greed instead research,227
research original strain,227
original strain ccpvirus,227
lives do expect,226
hydroxychloroquine saves lives,226
do expect rush,226
saves lives do,226
pfizer coronavirus vaccine,221
vaccine side effect,218
vaccine shortages1 000,202
19 vaccine shortages1,202
shortages1 000 000,202
covid 19 kills,196
american every minutes,195
19 kills american,195
kills american every,195
new covid 19,189
worst case scenario,189
one vaccine side,185
side effect free,184
effect free vaccines,182
skynews anyone supports,181
coronavirus coronavirusvaccine vaccine,181
need vaccine lockdown,180
vaccine lockdown masks,178
safe effective solution,178
repurposed generics suppressed,178
lockdown masks etc,178
fraulently discredited dose,177
doses human safety,177
solution repurposed generics,177
dose ivermectin malaria,177
effective solution repurposed,177
discredited dose ivermectin,177
billion doses human,177
ivermectin malaria amp,177
malaria amp parasites,177
amp parasites billion,177
generics suppressed fraulently,177
human safety record,177
suppressed fraulently discredited,177
parasites billion doses,177
free vaccines deliver,176
reactogenic side effects,176
bbcnews anyone supports,176
deliver reactogenic side,176
vaccines deliver reactogenic,176
volunteers worst case,176
messages volunteers worst,176
understand side effects,174
prophylaxis amp treatment,172
ivm works need,171
safety record prophylaxis,171
treatment ivm works,171
record prophylaxis amp,171
works need vaccine,171
amp treatment ivm,171
getting covid19 vaccine,167
restrictions refuse covid,159
vaccine shortages covid,159
shortages covid 19,159
long term side,153
term side effects,150
health care workers,150
000 covid 19,147
vaccine side effects,143
robert kennedy jr,142
covid 19 hoax,139
sars cov virus,138
400 000 covid,136
19 killed mid,136
side effects vaccine,136
killed mid january,136
covid 19 killed,136
january 2021 stop,136
mid january 2021,136
efficacy pamphlet coronavirusvaccine,135
vaccines covid 19,135
prevent covid 19,130
human guinea pigs,129
receive covid 19,128
moderna covid 19,128
get covid19 vaccine,128
19 vaccine dangerous,127
kennedy jr warns,126
petition prevent restrictions,125
prevent restrictions refuse,125
jr warns take,124
warns take covid,123
efficacy pamphlet coronavirus,123
99 recovery rate,123
vaccine watch video,122
vaccines pfizer moderna,122
effects understand side,121
side effects understand,121
covid19 vaccine watch,121
mix and match,120
vaccines use novel,120
19 vaccines pfizer,120
19 vaccine circumstances,119
novel technology informedconsent,119
trials manufacturer liability,119
efficacy trials manufacturer,119
use novel technology,119
manufacturer liability vaccines,119
safety efficacy trials,119
video first youtube,119
youtube completed safety,119
informedconsent transparency experimental,119
liability vaccines use,119
completed safety efficacy,119
technology informedconsent transparency,119
first youtube completed,119
watch video first,119
vaccines stop spread,118
pfizer moderna messages,117
moderna messages volunteers,117
blessing available humans,117
kill eliminate last,117
available humans protect,117
last sars cov,117
eliminate last sars,117
spread coronavirus god,117
protect systematically kill,117
must understand vaccines,117
coronavirus god blessing,117
god blessing available,117
stop spread coronavirus,117
understand vaccines stop,117
systematically kill eliminate,117
humans protect systematically,117
covid 19 death,116
covid 19 pandemic,112
minutes stop risk,112
every minutes stop,112
thinking getting covid19,111
know thinking getting,111
anyone know thinking,111
19 death count1,110
count1 1000 americans,110
death count1 1000,110
linger another easily,110
another easily survivable,110
whether covid 19,110
seems linger another,110
easily survivable flu,110
yet seems linger,110
less deadly yet,109
vaccine hysteria pharma,109
then global population,109
humans got infected,109
flu 1918 then,109
population today would,109
1918 then global,109
global population today,109
socalled spanish flu,109
coronavirus massively less,109
deadly yet seems,109
spanish flu 1918,109
hysteria pharma gravytrain,109
massively less deadly,109
million humans got,108
got infected socalled,108
less coronavirus massively,108
today would less,108
would less coronavirus,108
infected socalled spanish,108
500 million humans,108
stop insane vaccine,107
unknown whether covid,107
insane vaccine hysteria,107
19 vaccine given,103
nazi enforcement medical,103
vaccine flu 80,103
covid ve vaccine,103
deadlier covid ve,103
flu deadlier covid,103
enforcement medical tyranny,103
ve vaccine flu,103
hundreds millions people,102
first ccp created,102
vaccine given leaders,102
vaccine vaccine cause,102
given leaders first,102
created virus also,102
dangers hundreds millions,102
vaccine cause hidden,102
leaders first ccp,102
flu 80 years,102
controversial covid 19,102
and match vaccinations,102
medical tyranny doctors,102
hidden dangers hundreds,102
ccp created virus,102
millions people vaccinated,102
also lie vaccine,102
virus also lie,102
tyranny doctors around,102
19 vaccine via,102
cause hidden dangers,102
lie vaccine vaccine,102
vaccine silver bullet,101
covid 19 vaccinations,100
shortages 400 000,100
vaccine shortages 400,100
danger vaccines cdc,99
cdc vaccine schedules,99
vaccines cdc vaccine,99
cdc refuses provide,99
vaccine schedules dangerous,99
provide transparency danger,99
refuses provide transparency,99
transparency danger vaccines,99
con century complying,98
complying face diapers,98
years con century,98
amp nazi enforcement,98
diapers ever amp,98
century complying face,98
ever amp nazi,98
efficacy pamphlet vaccineshortages,98
80 years con,98
face diapers ever,98
virus 99 survival,96
coronavirus coronavirusvaccine vaccineshortages,94
virus indian invention,94
cov virus indian,94
indian invention aexpirator,94
vaccine 95 effective,94
ivermectin inhibits sars,93
inhibits sars coronavirus,93
prophylactic treatment cure,93
zinc other early,93
patients ivermectin inhibits,93
sars coronavirus spread,93
cure 6000 patients,93
6000 patients ivermectin,93
other early prophylactic,93
treatment cure 6000,93
early prophylactic treatment,93
hydroxychloroquine zinc other,92
necessary hydroxychloroquine zinc,92
vaccines necessary hydroxychloroquine,92
19 medicine name,91
god in god,91
informed god in,91
90 95 vaccines,91
right covid 19,91
in god trust,91
medicines reverse damages,91
medicine name informed,91
reverse damages check,91
people injected arn,91
arn 70 90,91
19 medicines reverse,91
95 vaccines covid,91
updates regarding right,91
covid 19 medicine,91
check parler bercmag,91
regarding right covid,91
damages check parler,91
70 90 95,91
injected arn 70,91
bercmag updates regarding,91
name informed god,91
covid 19 medicines,91
parler bercmag updates,91
dangerous cdc refuses,89
vaccine dangerous cdc,89
90 year old,88
evidence covid 19,88
cure covid 19,88
opts mix and,86
take coronavirus vaccine,86
match vaccinations confounding,84
vaccine human guinea,84
said pfizer coronavirus,83
coronavirus vaccine human,83
19 vaccines prevent,82
vaccine toxic waste,82
19 vaccine emergency,82
bullet stop risk,81
vaccinations confounding experts,81
minutes vaccine silver,81
every minutes vaccine,81
silver bullet stop,81
vaccine bnt162b2 impact,81
less year vaccine,79
britain opts mix,79
efficacy pamphlet vaccine,78
positive covid 19,75
shortages 1000 americans,75
vaccine shortages 1000,75
get coronavirus vaccine,74
unsafe amp unnecessary,73
administered livestock years,72
testing covidvaccine also,72
livestock years research,72
refusing covid 19,72
years research know,72
covidvaccine also production,72
production administered livestock,72
also production administered,72
statutory holidays need,71
takes statutory holidays,71
need vaccinate people,71
test like hole,71
need fake phony,71
19 takes statutory,71
dougfordtaughtme covid 19,71
people uhn fordfailedthepeople,71
vaccinate people uhn,71
holidays need vaccinate,71
uhn fordfailedthepeople fordliedpeopledied,71
covid 19 takes,71
optimistic covid 19,70
anti vax person,70
vaccine approval process,69
covid19 vaccine anti,69
vaccines rushed market,69
ll wait amp,69
wait amp see,69
rushed market less,69
years ll wait,69
vaccine anti vax,69
market less year,69
15 years ll,69
